"first_seen_utc","ioc_id","ioc_value","ioc_type","threat_type","fk_malware","malware_alias","malware_printable","last_seen_utc","confidence_level","reference","tags","anonymous","reporter"
"2026-08-04 02:15:04","""1868046""","""https://danielklijn.com/""","""url""","""payload_delivery""","""win.vidar""","""None""","""Vidar""","""""","""75""","""True""","""None""","""ClickFix","compromised"
"2026-08-04 02:15:03","""1868045""","""https://essentiel-leman.com/""","""url""","""payload_delivery""","""win.vidar""","""None""","""Vidar""","""""","""75""","""True""","""None""","""ClickFix","compromised"
"2026-08-04 01:25:05","""1868035""","""https://slu.sinism188.top/""","""url""","""botnet_cc""","""win.vidar""","""None""","""Vidar""","""2026-08-04 04:25:47""","""100""","""True""","""None""","""vidar""","""0"""
"2026-08-04 01:20:07","""1868029""","""https://slu.cau777.org/""","""url""","""botnet_cc""","""win.vidar""","""None""","""Vidar""","""2026-08-04 04:26:09""","""100""","""True""","""None""","""vidar""","""0"""
"2026-08-04 01:15:05","""1868027""","""https://slu.popi999.net/""","""url""","""botnet_cc""","""win.vidar""","""None""","""Vidar""","""""","""100""","""True""","""None""","""vidar""","""0"""
"2026-08-04 01:15:04","""1868023""","""https://determinedresults.com/""","""url""","""payload_delivery""","""win.vidar""","""None""","""Vidar""","""""","""75""","""True""","""None""","""ClickFix","compromised"
"2026-08-04 01:15:04","""1868024""","""https://muhammedmuheisen.com/""","""url""","""payload_delivery""","""win.vidar""","""None""","""Vidar""","""""","""75""","""True""","""None""","""ClickFix","compromised"
"2026-08-04 01:15:04","""1868026""","""https://liobet.org/""","""url""","""payload_delivery""","""win.vidar""","""None""","""Vidar""","""""","""75""","""True""","""None""","""ClickFix","compromised"
"2026-08-04 01:15:03","""1868022""","""https://betensured-tips.com/""","""url""","""payload_delivery""","""win.vidar""","""None""","""Vidar""","""""","""75""","""True""","""None""","""ClickFix","compromised"
"2026-08-04 01:15:02","""1868021""","""https://corporate.mca.ca/""","""url""","""payload_delivery""","""win.vidar""","""None""","""Vidar""","""""","""75""","""True""","""None""","""ClickFix","compromised"
"2026-08-04 00:15:03","""1868009""","""https://lexingtoncancerfoundation.org/""","""url""","""payload_delivery""","""win.vidar""","""None""","""Vidar""","""""","""75""","""True""","""None""","""ClickFix","compromised"
"2026-08-03 23:15:02","""1868004""","""https://soyseaw.com/""","""url""","""payload_delivery""","""win.vidar""","""None""","""Vidar""","""""","""75""","""True""","""None""","""ClickFix","compromised"
"2026-08-03 20:35:05","""1867976""","""https://jbb.popi999.net/""","""url""","""botnet_cc""","""win.vidar""","""None""","""Vidar""","""2026-08-04 00:25:46""","""100""","""True""","""None""","""vidar""","""0"""
"2026-08-03 20:35:05","""1867978""","""https://jbb.cau777.org/""","""url""","""botnet_cc""","""win.vidar""","""None""","""Vidar""","""2026-08-04 00:26:08""","""100""","""True""","""None""","""vidar""","""0"""
"2026-08-03 19:54:25","""1867932""","""https://nonobody123.com/a85e9a98b9364c5d8f74.php""","""url""","""botnet_cc""","""win.stealc""","""None""","""Stealc""","""2026-08-04 04:06:39""","""100""","""False""","""None""","""c2","loader"
